CQS Symbol,ETF,Financial Status,Listing Exchange,Market Category,NASDAQ Symbol,Nasdaq Traded,NextShares,Round Lot Size,Security Name,Symbol,Test Issue
ADCT,N,"",N, ,ADCT,Y,N,100,ADC Therapeutics SA Common Shares,ADCT,N
"",N,D,Q,S,ADD,Y,N,100,Color Star Technology Co. Ltd. - Ordinary Shares,ADD,N
"",N,N,Q,Q,ADEA,Y,N,100,Adeia Inc.  - Common Stock,ADEA,N
"",N,N,Q,S,ADER,Y,N,100,26 Capital Acquisition Corp. - Class A Common Stock,ADER,N
"",N,N,Q,S,ADERU,Y,N,100,26 Capital Acquisition Corp. - Unit,ADERU,N
"",N,N,Q,S,ADERW,Y,N,100,26 Capital Acquisition Corp. - Warrant,ADERW,N
"",N,N,Q,G,ADES,Y,N,100,"Advanced Emissions Solutions, Inc. - Common Stock",ADES,N
ADEX,N,"",N, ,ADEX,Y,N,100,Adit EdTech Acquisition Corp. Common Stock,ADEX,N
ADEX.U,N,"",N, ,ADEX=,Y,N,100,"Adit EdTech Acquisition Corp. Units, each consisting of one share of common stock, and one-half of one redeemable warrant",ADEX.U,N
ADEX.WS,N,"",N, ,ADEX+,Y,N,100,"Adit EdTech Acquisition Corp. Redeemable Warrants, each whole warrant exercisable for shares of common stock at an exercise price of $11.50 per share",ADEX.W,N
ADFI,Y,"",Z, ,ADFI,Y,N,100,Anfield Dynamic Fixed Income ETF,ADFI,N
"",N,N,Q,Q,ADI,Y,N,100,"Analog Devices, Inc. - Common Stock",ADI,N
"",N,D,Q,S,ADIL,Y,N,100,"Adial Pharmaceuticals, Inc - Common Stock",ADIL,N
"",N,N,Q,S,ADILW,Y,N,100,"Adial Pharmaceuticals, Inc - Warrant",ADILW,N
ADIV,Y,"",P, ,ADIV,Y,N,100,SmartETFs Asia Pacific Dividend Builder ETF,ADIV,N
ADM,N,"",N, ,ADM,Y,N,100,Archer-Daniels-Midland Company Common Stock,ADM,N
"",N,N,Q,G,ADMA,Y,N,100,ADMA Biologics Inc - Common Stock,ADMA,N
ADME,Y,"",Z, ,ADME,Y,N,100,Aptus Drawdown Managed Equity ETF,ADME,N
